1.1, Explain how locations are described on Earth using geographic regions, latitude/longitude, and local directions.
9.2, Summarize the bulk properties of the Jovian planets, including their rotation rates, masses, magnetic fields, compositions, sizes, rings, and colors.
9.3, Explain the causes for the similarities and differences between the Jovian planets.
9.4, Explain the similarities and differences between Jovian and Terrestrial planets.
10.1, Describe how the Uranus, Neptune and Pluto were discovered.
10.2, Discuss the characteristics and unique features of the larger moons in the solar system, including the Galilean moons of Jupiter, Titan, Enceladus, Triton, and Mimas.
10.3, Explain how planetary rings are formed and describe the characteristics of the rings around the Jovian planets.
11.1, Describe the composition, orbits, and characteristics of the Kuiper belt objects and how they were discovered.
11.2, Differentiate between the asteroid belt and the Kuiper belt and list the characteristics of the bodies in these parts of our solar system.
11.3, Explain what meteors are, and discuss the threat of meteor impacts on Earth.
11.4, Discuss where comets come from, describe their compositions, and explain why they are rarely seen but sometimes visible to the naked eye.
11.5, List the basic steps and physical processes that caused the formation of the solar system.
13.1, Describe why the Sun has a visible surface when it is made out of gas.
13.2, Explain what a self-regulating system is, and how this is related to hydrostatic equilibrium.
13.3, List the layers of the Sun’s atmosphere.
13.4, Discuss how the Sun’s magnetic field is related to Sunspots.
13.5, Describe the Sunspot cycle
13.6, List and contrast the types of Solar Storms and their impact on the Earth.
14.1, Distinguish between luminosity and brightness.
14.2, Describe how size, surface temperature, surface area and luminosity are related to each other.
14.3, Analyze how a star’s surface temperature, size, and distance influence its luminosity and apparent brightness.
14.4, Interpret how the color of star is related to its surface temperature.
15.1, Understand the concept of parallax and how it is related to distance.
15.2, List and describe the relationships between the various regions of the electromagnetic spectrum.
15.3, Describe the differences in the colors of the rainbow and how they are related to white light.
15.4, Make use of Kirchhoff’s laws to predict they type of spectra we would observe under different conditions.
15.5, Relate associate spectral types, stellar colors and stellar surface temperature.
16.1, Identify the axis and major regions of interest in the HR diagram.
16.2, Compare the characteristics of stars on the HR diagram, including their luminosity, surface temperature, and size.
16.3, Infer the masses of stars on the main sequence from their spectral types, and understand that this relationship only applies to stars on the main sequence.
17.1, Relate the masses of stars to their lifetimes on the main sequence and be able to describe the underlying reasons of why mass affects the lifetime of stars.
17.2, Explain the reasons why low mass stars are so much more common that high mass stars.
17.3, Describe how energy is produced in the Sun.
17.4, Explain how energy produced in the Sun’s core reaches the Sun’s surface through convection and radiation.
17.5, Describe how helioseismology and solar neutrino measurements each provide a measurement of the conditions in the Sun’s interior.
17.6, Understand the basis for apparent and absolute magnitudes.
19.1, Distinguish between emission, reflection, and dark nebula.
19.2, Understand how the mass of stars is related to their luminosity and lifetime on the main sequence.
19.3, Name and describe the stages a gas cloud goes through as it transforms into a a cluster of main sequence stars.
19.4, Describe the power source and characteristics of protostars.
20.1, Describe the physical and observational differences between open and globular clusters.
20.2, Describe how HR diagrams of clusters change as the cluster ages.
20.3, How why stars leave the main sequence and how their internal structure changes as they evolve.
20.4, Name and describe each of the major stages a star like the sun goes through after leaving the main sequence until it becomes a white dwarf.
20.5, Draw diagrams of the internal structure of each of the post-main sequence stages that associate each stage with the internal energy sources.
21.1, Describe the differences between Nova, Supernova, and the formation of Planetary Nebula.
21.2, Explain conditions that cause Nova, Supernova Type I, Supernova Type II, and Hyper-nova.
21.3, Describe the how we find supernova in other galaxies as well as supernova remnants in our own galaxy.
21.4, List and describe some of the more famous supernova remnants from our own galaxy.
21.5, Understand how the cycle of stellar evolution has changed the composition of our galaxy.
22.1, Explain the differences between Nova, type I Supernova, and type II Supernova, including the conditions that lead to these explosions.
22.2, Describe the physical characteristics and the formation paths of white dwarfs, neutron stars, and black holes.
22.3, Describe how pulsars work and how they are formed.
22.4, Explain how pulsars are formed and why they are not created in all Supernova.
23.1, Describe the masses of the main sequence stars that eventually become white dwarfs, neutron stars, and black holes.
23.2, Discuss how gamma-ray bursts and Hypernova are associated with the formation of black holes.
23.3, Analyze how time is affected for observers in gravitational fields.
23.4, Connect the theories of special and general relativity to technology used in their everyday lives.
23.5, Explain the observational evidence for black holes.
25.1, Describe the size, shape and characteristics of the Milky Way Galaxy and why it looks so differently when it is viewed from Earth.
25.2, Summarize how (and why) RR Lyra and Cepheid variables can be used to determine interstellar distances and map our galaxy.
25.3, Contrast how the ages and orbits of halo, disk and bulge stars differ, and relate how this helps us understand how the galaxy formed.
25.4, Describe how the structures in the bulge, disk and halo are associated with the formation of the Milky Way.
25.5, Illustrate how density waves create spiral arms.
26.1, Identify the evidence we have for their being a supermassive black hole in the center of our galaxy.
26.2, Describe the relative sizes of protons, the solar system, the galaxy, and clusters of galaxies.
26.3, Identify and describe the differences between spiral, barred spirals, elliptical and irregular galaxies.
26.4, Understand the role the volunteers can play in helping scientists classify galaxies and solve scientific problems.
27.1, Discuss the distribution of galaxies in space, including the separation distances between galaxies and clusters of galaxies.
27.2, Explain how Doppler shift can be used determine the internal rotation, local orbits and recessional velocity of galaxies.
27.3, Describe what a rotation curve is and explain how it is used to determine the mass of a galaxy.
27.4, Describe Hubble’s law.
28.1, Analyze how changing the orbital distance and mass will affect the strength of gravity and speed of an orbiting body.
28.2, Explain why rotation curves lead us to conclude that galaxies contain a great deal of invisible mass in their outer halos.
28.3, Explain how orbits within galaxy clusters, observations of hot gas in galaxies, and gravitational lensing measurements all lead use to the conclusion that most of the mass of a galaxy is made of dark matter.
28.4, Describe why we conclude that dark matter is not made of stars, gas, or dust and why it is probably not made of ordinary atoms.
29.1, Describe the characteristics of clusters of galaxies.
29.2, Discuss the differences between normal and active galaxies, and describe the power source of active galaxies.
29.3, Explain what happens when galaxies collide and merge and discuss how common this is.
29.4, Explain how galaxies have merged and evolved over the history of the universe.
31.1, Describe the structures we see on the largest scales in the universe and the scales they encompass.
31.2, Define the terms Isotropic and Homogeneous and how these terms apply to the universe.
31.3, Explain how Olber’s paradox leads us to conclude that the universe is not infinitely old, infinitely large, and unchanging.
31.4, Apply Hubble’s law to determine the distances or redshifts of galaxies.
31.5, Apply Hubble’s law to determine the distance or red shift velocity for a distant galaxy.
31.6, Explain why we think the universe had a beginning based on Hubble’s law.
31.7, Explain how we determine the Age of the Universe using the Hubble constant.
32.1, Expanding the difference between space expanding and galaxies moving away from each other.
32.2, Discuss the history and scientific basis of the big bang theory.
32.3, Apply the idea of critical density to determine if the universe is dynamically open, closed, or flat.
32.4, Open, Closed, Flat Dynamics.
32.5, Describe what determines the fate of the universe.
32.6, Explain how the universe can be infinitely large but still have a finite age.
33.1, Explain how look back time allows us to look at young galaxies and the universe when it was younger.
33.2, Discuss the horizon of the universe and how it limits what we can see.
33.3, Explain why we believe the universe was hotter in the past.
33.4, Describe the origin and discovery of the 3k background radiation.
34.1, Describe how the accuracy of measurements of cosmological parameters including Hubble’s constant have changed over the last decades.
34.2, Explain how tiny temperature differences seen in the COBE/WMAP data are tied to the formation of galaxies and large-scale structure.
34.3, Discuss the difference between cosmic geometry and cosmic dynamics.
34.4, Explain how dark energy was discovered, how it is measured, and the role it plays in cosmic evolution
34.5, Describe the composition of the universe
35.1, Explain the effect Dark Energy has on Hubble’s law and how it was discovered.
35.2, Describe Epoch of Nucleosynthesis and how we experimentally test our understanding of this period.
35.3, Discuss the Epoch of Inflation including recent experimental results and their scientific significance.
37.1, List the characteristics of life.
37.2, Describe the role the big bang and stellar evolution had in creating the elements.
37.3, Describe the formation of the planets in the solar system.
37.4, Discuss the processes that form complex chemical molecules and where they are found.
37.5, Describe the basic biochemistry for life on Earth and how it is similar to molecules found elsewhere.
37.6, Explain the basic function of DNA, proteins, and enzymes in living organisms.
37.7, Describe the variety of conditions where life has been found on Earth.
38.1, Place the cosmic events in order from the Big Bang to the current era.
38.2, Distinguish between Prokaryotic and Eukaryotic cells and when they arose on Earth.
38.3, List the major stages and approximate timeline for the evolution of life on Earth.
38.4, Describe the timeline for life evolving on Earth.
38.5, Distinguish between intelligence, civilization, and technology.
39.1, Describe the different kinds of early speculation about life in the Universe.
39.2, Discuss the search for life on Mars from Lowell to the Mariner missions.
39.3, Explain the results of the Viking Mission, ALH84001, and the new results from the Curiosity Rover.
39.4, List other places in the solar system where life may have evolved and the conditions that are associated with each of these places.
40.1, Describe the two methods used for searching for planets that are orbiting around other stars.
40.2, Explain how the planets we see around other stars are different than those we see in our solar system.
40.3, Discuss the Habitability Zone and how that is related to life in the Universe.
40.4, Describe ways we can detect life on planets orbiting around other stars.
40.5, Discuss the Drake equation and the factors that we think are critical for the development of communicating civilizations.
41.1, Discuss the current efforts being made in the Search for Intelligent Life in the Universe.
41.2, Describe the efforts that have already been made in creating messages that could be understood by extra terrestrials, including the construction and content of these messages.
41.3, Explain why the efforts in detecting life and detecting intelligent life in the universe in the next few decades may be successful.
